data,cidade,temperatura_max_c,temperatura_min_c,umidade_pct,pressao_hpa,vento_kmh,precipitacao_mm
2023-08-21,São Paulo,29.6,18.9,54.3,1017.5,2.2,0.0
2023-10-05,São Paulo,22.7,17.3,68.8,1011.2,6.6,0.0
2024-05-22,São Paulo,28.5,19.1,68.9,1016.4,23.9,0.0
2024-10-20,São Paulo,26.1,12.9,74.2,1018.7,11.8,0.0
2023-12-22,SÃO PAULO,19.0,7.9,84.8,1006.1,24.3,0.0
2023-10-24,São Paulo,23.8,14.4,65.2,1013.0,,0.0
2024-11-11,São Paulo,23.1,"16,8",90.7,1005.4,9.0,0.0
2024-12-13,São Paulo,16.6,"13,3","80,5",1013.2,10.7,7.2
2023-03-16,São Paulo,21.2,14.4,79.6,1012.1,17.2,0.0
2023-03-08,São Paulo,19.5,13.8,63.4,1015.2,6.8,0.0
2024-05-15,São Paulo,29.9,,63.5,1011.5,21.2,0.0
2023-04-21,São Paulo,25.4,15.5,71.2,1011.3,13.2,0.0
2023-10-13,São Paulo,23.2,15.3,"71,4",1016.0,20.0,0.0
2024-02-27,São Paulo,18.3,10.3,65.3,1010.3,7.0,0.0
2024-11-09,São Paulo,22.3,"13,8",73.6,,7.1,0.0
2023-11-16,São Paulo,18.3,10.2,75.7,1013.9,25.0,0.0
2023-12-20,São Paulo,"20,4",10.7,76.2,1011.8,9.0,0.0
2024-06-10,São Paulo,32.1,"19,0",57.0,1008.7,5.0,0.0
2023-08-11,São Paulo,29.8,17.4,"57,1",1018.4,12.5,22.3
2023-04-10,São Paulo,"21,4",15.2,"71,9",1017.8,14.9,0.0
2024-03-05,São Paulo,21.0,9.6,71.8,,7.7,60.4
2023-03-06,São Paulo,21.7,11.5,83.7,1014.0,9.4,56.3
2023-01-25,Sao Paulo,17.1,12.1,"85,1",1012.6,9.8,0.0
2023-03-05,São Paulo,"21,3",8.5,83.1,1014.3,4.4,0.0
2023-06-09,São Paulo,26.2,17.5,62.3,1012.9,4.7,9.6
2024-04-17,São Paulo,23.6,15.0,61.6,1013.5,3.0,0.0
2024-12-11,Sao Paulo,"19,0",11.5,76.5,1010.9,13.5,0.0
2024-08-10,São Paulo,27.6,16.9,54.2,1019.0,0.5,0.0
2024-09-16,São Paulo,27.9,18.2,64.7,1016.1,5.1,8.0
2024-04-11,São Paulo,22.9,13.0,"75,9",1014.8,350.0,0.0
2024-04-16,São Paulo,23.2,15.8,77.6,1011.3,6.7,6.3
2023-10-27,São Paulo,23.6,16.2,67.3,1016.1,4.4,0.0
2023-03-12,São Paulo,17.8,10.2,81.6,1012.2,10.0,0.0
2024-09-27,São Paulo,25.2,14.5,62.2,1006.3,1.2,76.1
2023-10-01,São Paulo,30.1,16.3,73.0,1011.2,21.1,0.0
2024-06-02,São Paulo,"30,4",,63.7,1015.8,5.9,0.3
2024-02-08,São Paulo,"17,6",10.1,80.1,1018.0,7.4,0.0
2023-11-01,São Paulo,22.2,13.6,65.5,1004.2,14.1,0.0
2024-12-09,São Paulo,18.6,,,1007.4,6.3,0.0
2024-10-14,São Paulo,27.7,"14,8",,1008.8,22.9,0.0
2023-05-29,São Paulo,30.4,18.3,65.0,1012.2,10.7,0.0
2024-11-28,São Paulo,17.7,,72.4,1009.7,2.3,0.0
2024-02-14,São Paulo,15.9,"13,7",75.3,1012.6,7.4,
2024-10-17,São Paulo,24.5,17.1,71.0,1016.1,10.2,0.0
2023-08-09,São Paulo,29.0,20.4,57.6,1007.2,14.3,0.0
2024-07-16,São Paulo,,"16,2","52,0",1008.2,18.3,0.0
2023-11-25,São Paulo,17.6,12.6,66.4,1020.1,9.5,0.0
2024-03-18,São Paulo,22.0,"10,9",78.4,1017.8,8.2,0.0
2024-12-07,São Paulo,17.2,5.7,"73,5",1016.2,1.1,0.0
2023-01-23,São Paulo,20.7,13.7,84.6,1013.1,35.4,0.0
2024-08-29,São Paulo,30.0,19.8,"66,0",,7.3,0.0
2024-12-30,SÃO PAULO,15.7,11.9,74.1,1007.9,8.0,0.5
2023-01-03,São Paulo,19.8,9.8,85.7,1005.6,2.8,0.0
2024-11-29,Sao Paulo,17.8,12.8,73.9,1014.7,4.4,-1.0
2024-02-25,São Paulo,19.6,"12,9",74.9,1011.4,19.0,0.0
2023-12-29, são paulo ,20.5,10.5,74.3,1011.5,12.1,0.0
2024-10-01,São Paulo,26.6,13.4,57.4,1016.9,,0.0
2023-07-24,São Paulo,25.4,21.0,61.4,1012.3,7.2,65.2
2023-04-26,São Paulo,23.8,21.6,"74,5",1018.2,5.1,0.0
2023-10-06,São Paulo,27.6,16.5,66.0,1011.3,19.6,27.9
2023-03-07,São Paulo,21.9,13.6,75.4,1017.3,3.5,0.0
2023-09-06,São Paulo,"34,2",19.0,"60,2",1015.3,11.1,0.0
2024-07-03,São Paulo,31.3,22.0,70.9,1009.7,3.2,5.7
2023-11-18,São Paulo,"20,3",12.5,"69,5",1013.5,14.3,16.8
2024-06-11,São Paulo,29.3,22.3,,1013.7,3.6,0.0
2023-09-14,São Paulo,28.1,"18,2",68.4,1016.3,8.0,12.0
2024-11-16,São Paulo,19.8,"16,4",80.9,1009.7,29.4,0.0
2024-08-26,São Paulo,"27,2",19.5,61.4,1015.2,4.0,0.0
2023-11-15,São Paulo,"23,2",13.3,79.8,1019.8,3.1,0.0
2023-08-10,São Paulo,30.0,20.4,68.2,1017.4,10.2,16.1
2024-08-04,São Paulo,27.1,"18,5",56.0,1011.3,14.9,22.8
2024-09-26,São Paulo,"25,2",17.3,72.1,1020.7,12.7,0.0
2024-08-17,São Paulo,26.3,21.0,58.6,,5.8,0.0
2023-07-22,São Paulo,"30,2",22.9,67.2,1008.4,8.1,17.0
2024-08-19,São Paulo,27.8,16.3,58.1,1011.2,17.0,0.8
2023-04-08,São Paulo,21.0,16.5,70.5,1014.8,3.1,0.0
2023-05-30,São Paulo,28.4,18.8,61.6,1004.8,1.4,1.9
2024-06-22,São Paulo,24.2,20.7,58.1,1007.8,4.8,9.7
2024-07-13,São Paulo,28.0,20.3,55.3,1006.5,18.6,11.7
2023-02-24,São Paulo,18.3,11.6,73.4,1010.0,13.0,0.0
2024-01-26, são paulo ,13.0,10.1,78.0,1014.4,15.4,0.0
2023-08-28,São Paulo,"27,3",18.2,59.6,1008.9,2.3,6.2
2023-02-16,SÃO PAULO,20.8,11.5,90.5,1011.8,6.2,26.5
2024-07-01,São Paulo,27.6,"20,5","64,1",1009.6,5.8,37.5
2023-08-25,São Paulo,23.9,17.6,51.8,1020.3,4.5,
2024-11-19,São Paulo,19.6,12.2,"75,3",1016.6,10.1,13.0
2023-05-13,São Paulo,28.1,17.4,67.8,1015.1,2.7,0.0
2024-04-09,São Paulo,20.9,18.0,67.6,1009.2,,0.0
2024-11-30,São Paulo,"19,3",10.9,71.5,1012.6,20.5,70.8
2024-01-17,São Paulo,20.9,7.9,71.0,1012.7,24.5,0.0
2023-02-18,São Paulo,20.5,8.5,78.7,1009.8,26.7,0.0
2023-05-15,São Paulo,23.6,18.9,67.2,1018.9,3.4,5.7
2023-09-09,São Paulo,28.3,18.4,,1016.3,13.2,
2023-07-13,São Paulo,,19.7,50.6,1006.6,15.9,9.3
2024-01-04, são paulo ,18.6,12.3,84.3,1013.2,12.6,0.0
2024-09-13,São Paulo,27.2,15.3,65.8,1013.0,5.3,0.0
2023-02-25,São Paulo,"18,0",,"85,5",1012.8,14.3,0.0
2023-08-31,São Paulo,24.4,19.7,64.3,1009.2,14.3,0.0
2024-02-28,São Paulo,16.4,,78.9,1013.0,13.6,0.0
2023-05-22,São Paulo,"25,3",19.2,55.7,1011.0,12.7,8.8
2024-07-19,São Paulo,31.6,17.2,44.4,1016.0,5.8,6.8
2024-10-04,São Paulo,29.6,,66.5,1012.6,10.4,3.6
2023-07-08,São Paulo,26.9,"16,6",57.1,1016.2,11.2,0.0
2024-09-15,São Paulo,,20.9,69.8,1007.2,12.8,0.0
2023-05-01,São Paulo,,15.4,70.8,1013.2,12.9,0.0
2023-04-19,São Paulo,26.1,14.6,69.7,1009.4,56.7,0.0
2023-09-30,São Paulo,25.4,17.5,64.2,1009.9,2.2,0.0
2024-02-12,São Paulo,20.5,10.4,"80,3",1010.8,5.2,0.0
2024-12-28,sao paulo ,19.9,13.4,82.9,1010.1,14.1,0.0
2024-06-27,São Paulo,,18.6,67.2,1009.2,7.7,4.8
2024-09-12,São Paulo,26.2,"18,7",57.7,1010.9,15.5,24.0
2023-01-04,sao paulo ,20.2,10.6,80.1,1012.3,5.3,0.0
2023-02-28,São Paulo,17.7,"11,1",69.7,1012.7,9.1,93.4
2023-04-12,São Paulo,26.4,12.6,63.8,1017.7,13.6,0.0
2024-12-25,sao paulo ,16.3,10.1,78.7,1020.3,2.3,0.0
2024-04-18,São Paulo,"24,7",14.1,79.2,1011.4,7.2,0.0
2024-09-25,São Paulo,21.7,,71.4,1020.4,1.9,2.5
2023-07-29,São Paulo,"29,1",20.3,50.6,1014.1,17.4,52.9
2023-02-22,São Paulo,16.0,12.6,67.8,,12.3,0.0
2023-01-18,São Paulo,15.9,9.3,90.2,1016.2,11.5,0.0
2023-10-11,São Paulo,25.5,13.5,64.5,1004.9,8.0,8.1
2023-05-27,São Paulo,26.5,17.8,62.2,1016.4,22.6,17.6
2023-02-20,sao paulo ,19.8,10.8,83.5,1016.8,10.1,0.0
2024-11-08,São Paulo,22.5,13.0,"81,6",1005.6,17.5,0.0
2023-06-05,São Paulo,32.4,21.0,51.8,1019.0,18.4,0.0
2023-10-22,São Paulo,22.8,13.8,81.3,1016.4,13.0,14.8
2024-05-06,São Paulo,26.9,17.5,62.6,1007.1,8.2,0.0
2023-12-17,São Paulo,19.5,10.3,80.4,1016.1,4.4,0.0
2024-12-22,São Paulo,20.9,10.2,73.2,1014.4,2.1,0.0
2023-11-13,São Paulo,"21,3",13.6,67.9,1011.8,15.2,0.0
2023-09-07,São Paulo,"25,1",18.9,50.2,1009.1,10.1,10.6
,São Paulo,20.0,,75.3,1007.9,16.3,0.0
2024-08-30,São Paulo,"29,2",23.4,61.7,1012.0,1.4,38.2
2024-09-25,São Paulo,21.7,,71.4,1020.4,1.9,2.5
2023-01-31,São Paulo,22.9,11.3,,1009.8,2.9,0.0
2023-01-26,São Paulo,17.3,8.4,"71,6",1010.4,11.0,0.0
2023-09-19,São Paulo,26.1,20.5,77.1,1011.4,6.4,0.0
2024-12-15,São Paulo,18.3,11.2,81.6,1013.1,18.1,11.7
2023-04-28,São Paulo,25.3,14.7,70.1,1016.3,5.5,0.0
2024-11-10,Sao Paulo,21.0,12.1,72.4,1008.7,5.4,11.0
2023-04-27,São Paulo,"25,6","17,5",54.9,1014.0,8.1,0.0
2024-11-28,São Paulo,17.7,,72.4,1009.7,2.3,0.0
2024-05-19,São Paulo,20.8,16.3,65.9,1013.6,7.8,0.0
2024-08-24,SÃO PAULO,"27,4",20.5,64.5,1017.4,3.9,0.0
2023-01-28,São Paulo,19.0,11.3,80.8,1013.4,6.0,0.0
2023-05-06,São Paulo,26.8,17.3,"72,3",1021.9,1.6,0.0
2023-02-21,São Paulo,20.6,14.2,66.1,1015.0,2.7,0.0
2024-01-03,SÃO PAULO,16.3,11.9,78.4,1014.4,13.5,0.0
2024-02-04,São Paulo,16.8,8.7,72.9,1014.9,25.1,0.0
2023-07-20,São Paulo,30.7,20.8,59.4,1014.2,12.4,6.5
2023-11-30,São Paulo,17.6,10.3,75.1,1012.7,13.9,0.0
2024-02-24,São Paulo,22.3,11.5,"86,3",1010.6,9.5,0.0
2024-05-25,São Paulo,24.4,16.4,64.3,1017.7,9.5,25.6
2024-02-06,São Paulo,18.9,9.1,"85,4",1006.6,12.0,0.0
2024-11-01,São Paulo,24.0,13.0,70.7,1025.2,21.9,0.0
2024-08-16,São Paulo,25.5,19.7,64.9,1013.0,5.5,41.7
2024-03-25,São Paulo,22.7,,76.6,1009.1,18.2,0.0
2024-12-20,São Paulo,16.3,9.9,80.5,1013.0,13.9,
2024-06-29,São Paulo,,18.7,53.7,1022.8,2.7,0.0
2024-07-23,São Paulo,30.4,20.1,57.1,1010.9,8.4,28.0
2023-01-24,São Paulo,17.7,13.3,75.0,1013.0,20.3,0.0
2024-11-13,São Paulo,23.9,14.9,,1004.0,4.7,0.0
2023-06-04,São Paulo,28.3,19.2,80.0,1010.2,26.8,6.4
2024-10-02,São Paulo,"22,0",17.6,63.5,1009.0,12.5,
2024-07-26,São Paulo,30.5,21.3,"60,8",1010.2,0.3,0.0
2023-11-02,São Paulo,19.9,"15,3","78,0",1010.8,19.2,0.0
2024-01-12,São Paulo,17.6,8.6,88.9,1014.9,10.6,0.0
2023-12-18,São Paulo,20.5,11.3,78.8,1012.8,15.7,0.0
2023-09-20,São Paulo,"27,1",19.5,72.5,1013.4,2.1,0.0
2023-03-24,Sao Paulo,20.9,12.1,"82,1",1000.7,19.5,0.0
2024-06-17,São Paulo,"30,3",19.3,63.5,1009.4,5.8,
2023-12-19,São Paulo,17.4,10.6,80.0,1011.1,22.3,19.7
2023-02-08,São Paulo,16.7,"13,4",75.8,1008.7,7.6,0.0
2024-01-28,sao paulo ,17.1,"9,7",82.6,1017.0,16.1,24.4
2023-01-11,São Paulo,19.9,12.1,79.9,1015.4,9.0,8.1
2024-09-22,São Paulo,"29,8",18.6,67.0,1008.9,17.8,0.0
2023-02-02,São Paulo,17.2,11.4,77.4,1013.9,28.0,0.0
2024-08-01,São Paulo,29.2,19.2,65.9,1015.3,7.0,16.6
2024-05-13,SÃO PAULO,22.4,18.3,66.4,1008.9,5.2,0.0
2023-10-09,São Paulo,"20,9",14.7,61.0,1009.4,10.7,
2024-08-18,São Paulo,28.1,19.7,50.8,1010.7,4.1,27.7
2024-10-29,sao paulo ,23.6,14.8,78.8,1007.1,6.8,0.0
2024-10-28,São Paulo,19.1,13.5,"74,8",1009.4,12.4,
2024-10-11,São Paulo,23.5,17.5,72.3,1015.3,5.7,0.0
2024-09-11,São Paulo,"30,5","17,3",66.8,1011.3,14.4,0.0
2023-10-28,São Paulo,26.5,14.3,68.3,1010.0,13.3,0.0
2023-03-31,São Paulo,"23,3",12.8,,1017.4,20.6,0.0
2023-08-02,São Paulo,28.7,20.3,50.7,1014.2,13.6,11.1
2024-09-21,São Paulo,21.1,16.3,69.8,1015.7,37.1,0.0
2024-02-19,São Paulo,18.4,"12,1",82.6,1012.2,6.6,0.0
2023-01-08,São Paulo,17.3,7.1,69.3,1010.8,7.2,0.0
2024-05-08,São Paulo,27.3,15.3,60.0,1006.0,13.4,27.8
2024-11-03,São Paulo,20.5,12.5,68.5,1008.0,13.4,0.0
2023-07-07,São Paulo,27.2,22.4,56.0,1011.9,9.5,21.4
2023-05-03,São Paulo,"26,2",16.5,66.4,1014.5,3.3,18.6
2023-02-10,São Paulo,20.2,12.9,87.0,1019.3,2.2,0.0
2024-08-09,São Paulo,26.9,20.2,61.5,1009.0,7.5,33.1
2024-01-25,São Paulo,15.0,10.9,81.2,1012.7,8.3,0.0
2023-06-22,São Paulo,28.5,22.4,62.6,1018.9,,0.0
2023-10-12,São Paulo,21.9,,65.9,1013.8,25.8,0.0
2024-10-26,São Paulo,22.7,17.4,85.2,1013.5,1.7,0.0
2023-08-29, são paulo ,26.5,"18,5",63.5,1013.4,,0.0
2023-06-14,São Paulo,30.9,21.1,47.5,1014.3,9.7,0.0
2024-01-13,São Paulo,13.6,12.3,74.6,1022.1,15.0,
2024-11-06,SÃO PAULO,22.5,13.6,"78,8",1013.3,7.3,0.0
2024-10-31,São Paulo,"16,7",15.7,86.8,1009.9,5.0,0.0
2023-09-03,São Paulo,25.2,"20,3",64.8,1017.0,11.0,0.0
2023-02-26,São Paulo,,10.9,75.6,1017.7,9.3,5.1
2023-11-24,São Paulo,20.1,12.1,82.3,1012.1,35.8,0.0
2023-03-13,Sao Paulo,18.2,12.8,68.6,1014.9,13.8,0.0
2024-12-04,São Paulo,19.3,11.6,85.1,1016.9,15.2,0.0
2023-05-26,São Paulo,26.9,"18,1",64.9,1017.2,14.1,15.3
2023-04-01,São Paulo,,16.3,69.1,1014.1,10.3,0.0
2023-06-16,São Paulo,"31,2","17,8","63,6",1019.3,12.9,0.0
2024-02-13,sao paulo ,14.3,10.6,84.0,1018.6,,0.0
2023-06-20,São Paulo,27.9,19.7,61.9,1014.9,28.4,
2024-05-07,São Paulo,25.6,18.2,,1013.6,5.8,0.0
2024-04-29,São Paulo,,13.7,63.1,1015.0,16.1,0.0
2024-07-07,São Paulo,34.4,20.1,130,1017.2,5.5,
2023-09-01,São Paulo,,,"74,5",1009.1,2.2,26.5
2023-03-29,São Paulo,"22,2",13.9,75.5,,15.3,0.0
2023-08-03,São Paulo,29.0,"19,1",66.4,1011.6,5.0,16.3
2023-06-23,sao paulo ,26.8,18.5,67.3,1017.5,4.9,9.4
2023-10-19,São Paulo,"24,0",15.5,67.2,1012.6,14.9,0.0
2024-07-25, são paulo ,29.8,"21,0",57.8,1010.8,3.2,67.8
2023-04-29,São Paulo,28.8,17.8,75.0,1014.1,14.9,0.0
2023-04-30,São Paulo,"24,9","15,5",66.7,1018.5,,0.0
2024-04-15,São Paulo,"24,7",14.1,"64,9",,,0.0
2024-05-16,São Paulo,29.0,15.4,63.5,1018.6,,17.6
2023-12-13,São Paulo,17.6,15.8,78.7,,8.1,0.0
2024-01-30,São Paulo,19.7,9.7,78.7,1018.6,4.7,0.0
2024-12-26,São Paulo,21.5,14.4,76.7,1008.9,6.8,39.5
2023-06-12,São Paulo,33.7,19.2,62.9,1004.3,2.8,0.0
2023-11-17,São Paulo,22.6,12.0,60.7,1016.2,16.6,0.0
2023-04-25,São Paulo,25.1,,68.7,1013.1,,15.6
2023-06-08,São Paulo,27.6,15.9,65.6,1015.5,3.5,26.7
2023-05-31,São Paulo,27.8,20.2,62.8,1012.2,6.1,14.6
2024-01-23,São Paulo,19.2,10.7,83.9,1009.0,4.6,0.0
2024-07-05,SÃO PAULO,31.1,16.3,60.1,1017.1,5.4,0.0
2023-02-01,São Paulo,17.4,11.5,73.1,1008.6,25.6,49.5
2024-02-29,São Paulo,17.8,11.6,70.8,1016.7,21.0,0.0
2023-01-21,São Paulo,"17,6",9.5,80.6,1020.1,10.2,74.6
2023-04-24,São Paulo,21.6,15.9,61.1,1020.7,4.5,0.0
2024-10-03,São Paulo,26.7,"16,7",72.6,1015.0,,0.0
2023-01-01,sao paulo ,18.8,10.2,74.6,1013.1,5.6,0.0
2023-12-24,São Paulo,19.0,"11,5",77.7,1006.3,29.2,0.0
2024-03-07,SÃO PAULO,"21,3",11.4,63.3,1010.8,6.7,
2023-12-27,São Paulo,18.0,10.3,86.8,1004.7,7.3,7.6
2024-04-25, são paulo ,25.5,"15,0",61.0,1014.9,5.4,0.0
2023-09-16,São Paulo,26.6,16.6,71.4,,10.5,71.6
2024-12-16,São Paulo,16.1,14.8,"81,8",1008.2,6.9,8.8
2023-11-11,São Paulo,23.2,11.3,"66,3",1014.4,19.0,0.0
2024-09-20,São Paulo,"24,2",16.6,"67,0",1014.2,7.4,0.0
2023-05-16,São Paulo,"24,7",15.0,66.5,1013.7,20.6,25.7
2024-04-30, são paulo ,25.1,"13,0",,1005.9,8.3,0.0
2023-01-05,São Paulo,"13,8",10.4,72.1,1013.1,22.2,0.0
2024-05-14,São Paulo,23.6,"16,4",61.4,1012.7,,0.0
2023-11-21,São Paulo,24.5,14.7,82.5,1018.7,,0.0
2023-11-27,São Paulo,23.3,14.3,78.3,1005.8,11.7,0.0
2024-01-01,São Paulo,"21,4",13.0,89.1,1018.7,33.4,0.0
2023-12-06,SÃO PAULO,20.7,"10,8",80.4,1014.0,26.2,0.0
2023-10-25,São Paulo,22.2,14.2,72.0,1016.3,5.4,89.3
2023-03-22,São Paulo,22.5,11.9,75.6,1016.6,16.9,0.0
2024-08-15,São Paulo,,16.5,63.5,1013.4,21.5,0.0
2023-01-27,São Paulo,19.3,11.6,81.8,1007.1,5.1,5.5
2024-04-03,São Paulo,23.5,13.7,"65,5",1005.4,10.7,0.0
